CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 
Done!16.89 s

Number of sentences: 15586
Number of features:  1528756
Number of thread(s): 4
Freq:                4
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=0 terr=0.98787 serr=1.00000 act=1528756 obj=2055386.56193 diff=1.00000
iter=1 terr=0.03155 serr=0.44360 act=1528756 obj=812578.06076 diff=0.60466
iter=2 terr=0.03155 serr=0.44360 act=1528756 obj=266470.88400 diff=0.67207
iter=3 terr=0.03155 serr=0.44360 act=1528756 obj=253569.78600 diff=0.04841
iter=4 terr=0.03155 serr=0.44360 act=1528756 obj=205213.20527 diff=0.19070
iter=5 terr=0.65997 serr=0.99891 act=1528756 obj=5122368.60558 diff=23.96120
iter=6 terr=0.03155 serr=0.44360 act=1528756 obj=196365.10030 diff=0.96167
iter=7 terr=0.03155 serr=0.44360 act=1528756 obj=176380.57954 diff=0.10177
iter=8 terr=0.03155 serr=0.44360 act=1528756 obj=172761.22929 diff=0.02052
iter=9 terr=0.03155 serr=0.44360 act=1528756 obj=197849.10007 diff=0.14522
iter=10 terr=0.03155 serr=0.44360 act=1528756 obj=159017.73693 diff=0.19627
iter=11 terr=0.03155 serr=0.44360 act=1528756 obj=140783.46664 diff=0.11467
iter=12 terr=0.02955 serr=0.42230 act=1528756 obj=110255.99257 diff=0.21684
iter=13 terr=0.02937 serr=0.42083 act=1528756 obj=85839.92886 diff=0.22145
iter=14 terr=0.02742 serr=0.40960 act=1528756 obj=79836.66448 diff=0.06994
iter=15 terr=0.02791 serr=0.41152 act=1528756 obj=73611.25031 diff=0.07798
iter=16 terr=0.02731 serr=0.40876 act=1528756 obj=70173.73148 diff=0.04670
iter=17 terr=0.02638 serr=0.40312 act=1528756 obj=66056.90894 diff=0.05867
iter=18 terr=0.02505 serr=0.39786 act=1528756 obj=58524.74666 diff=0.11403
iter=19 terr=0.02273 serr=0.38522 act=1528756 obj=46762.08601 diff=0.20099
iter=20 terr=0.02097 serr=0.37226 act=1528756 obj=43576.46430 diff=0.06812
iter=21 terr=0.02254 serr=0.38464 act=1528756 obj=46270.06854 diff=0.06181
iter=22 terr=0.02128 serr=0.37348 act=1528756 obj=42616.93556 diff=0.07895
iter=23 terr=0.02092 serr=0.37052 act=1528756 obj=41967.13955 diff=0.01525
iter=24 terr=0.01898 serr=0.34974 act=1528756 obj=38444.14556 diff=0.08395
iter=25 terr=0.01765 serr=0.33164 act=1528756 obj=35167.93679 diff=0.08522
iter=26 terr=0.01638 serr=0.31682 act=1528756 obj=31273.32884 diff=0.11074
iter=27 terr=0.01504 serr=0.30226 act=1528756 obj=28731.28251 diff=0.08128
iter=28 terr=0.01481 serr=0.29879 act=1528756 obj=27715.74962 diff=0.03535
iter=29 terr=0.01446 serr=0.29424 act=1528756 obj=26651.42344 diff=0.03840
iter=30 terr=0.01281 serr=0.27396 act=1528756 obj=23853.37985 diff=0.10499
iter=31 terr=0.01271 serr=0.26909 act=1528756 obj=23212.76182 diff=0.02686
iter=32 terr=0.01254 serr=0.26344 act=1528756 obj=22845.47204 diff=0.01582
iter=33 terr=0.01228 serr=0.25780 act=1528756 obj=22282.89930 diff=0.02463
iter=34 terr=0.01252 serr=0.25632 act=1528756 obj=21111.88387 diff=0.05255
iter=35 terr=0.01145 serr=0.24586 act=1528756 obj=19937.41242 diff=0.05563
